"species","culmen_length_mm","culmen_depth_mm"
"Gentoo penguin (Pygoscelis papua)",52.2,17.1
"Gentoo penguin (Pygoscelis papua)",45.5,14.5
"Gentoo penguin (Pygoscelis papua)",49.5,16.1
"Gentoo penguin (Pygoscelis papua)",44.5,14.7
"Gentoo penguin (Pygoscelis papua)",50.8,15.7
"Gentoo penguin (Pygoscelis papua)",49.4,15.8
"Gentoo penguin (Pygoscelis papua)",46.9,14.6
"Gentoo penguin (Pygoscelis papua)",48.4,14.4
"Gentoo penguin (Pygoscelis papua)",51.1,16.5
"Gentoo penguin (Pygoscelis papua)",48.5,15
"Gentoo penguin (Pygoscelis papua)",55.9,17
"Gentoo penguin (Pygoscelis papua)",47.2,15.5
"Gentoo penguin (Pygoscelis papua)",49.1,15
"Gentoo penguin (Pygoscelis papua)",47.3,13.8
"Gentoo penguin (Pygoscelis papua)",46.8,16.1
"Gentoo penguin (Pygoscelis papua)",41.7,14.7
"Gentoo penguin (Pygoscelis papua)",53.4,15.8
"Gentoo penguin (Pygoscelis papua)",43.3,14
"Gentoo penguin (Pygoscelis papua)",48.1,15.1
"Gentoo penguin (Pygoscelis papua)",50.5,15.2
"Gentoo penguin (Pygoscelis papua)",49.8,15.9
"Gentoo penguin (Pygoscelis papua)",43.5,15.2
"Gentoo penguin (Pygoscelis papua)",51.5,16.3
"Gentoo penguin (Pygoscelis papua)",46.2,14.1
"Gentoo penguin (Pygoscelis papua)",55.1,16
"Gentoo penguin (Pygoscelis papua)",44.5,15.7
"Gentoo penguin (Pygoscelis papua)",48.8,16.2
"Gentoo penguin (Pygoscelis papua)",47.2,13.7
"Gentoo penguin (Pygoscelis papua)",46.8,14.3
"Gentoo penguin (Pygoscelis papua)",50.4,15.7
"Gentoo penguin (Pygoscelis papua)",45.2,14.8
"Gentoo penguin (Pygoscelis papua)",49.9,16.1
