"species","culmen_length_mm","culmen_depth_mm"
"Adelie Penguin (Pygoscelis adeliae)",36.5,18
"Adelie Penguin (Pygoscelis adeliae)",40.8,18.4
"Adelie Penguin (Pygoscelis adeliae)",36,18.5
"Adelie Penguin (Pygoscelis adeliae)",44.1,19.7
"Adelie Penguin (Pygoscelis adeliae)",37,16.9
"Adelie Penguin (Pygoscelis adeliae)",39.6,18.8
"Adelie Penguin (Pygoscelis adeliae)",41.1,19
"Adelie Penguin (Pygoscelis adeliae)",37.5,18.9
"Adelie Penguin (Pygoscelis adeliae)",36,17.9
"Adelie Penguin (Pygoscelis adeliae)",42.3,21.2
"Adelie Penguin (Pygoscelis adeliae)",39.6,17.7
"Adelie Penguin (Pygoscelis adeliae)",40.1,18.9
"Adelie Penguin (Pygoscelis adeliae)",35,17.9
"Adelie Penguin (Pygoscelis adeliae)",42,19.5
"Adelie Penguin (Pygoscelis adeliae)",34.5,18.1
"Adelie Penguin (Pygoscelis adeliae)",41.4,18.6
"Adelie Penguin (Pygoscelis adeliae)",39,17.5
"Adelie Penguin (Pygoscelis adeliae)",40.6,18.8
"Adelie Penguin (Pygoscelis adeliae)",36.5,16.6
"Adelie Penguin (Pygoscelis adeliae)",37.6,19.1
"Adelie Penguin (Pygoscelis adeliae)",35.7,16.9
"Adelie Penguin (Pygoscelis adeliae)",41.3,21.1
"Adelie Penguin (Pygoscelis adeliae)",37.6,17
"Adelie Penguin (Pygoscelis adeliae)",41.1,18.2
"Adelie Penguin (Pygoscelis adeliae)",36.4,17.1
"Adelie Penguin (Pygoscelis adeliae)",41.6,18
"Adelie Penguin (Pygoscelis adeliae)",35.5,16.2
"Adelie Penguin (Pygoscelis adeliae)",41.1,19.1
"Adelie Penguin (Pygoscelis adeliae)",35.9,16.6
"Adelie Penguin (Pygoscelis adeliae)",41.8,19.4
"Adelie Penguin (Pygoscelis adeliae)",33.5,19
"Adelie Penguin (Pygoscelis adeliae)",39.7,18.4
"Adelie Penguin (Pygoscelis adeliae)",39.6,17.2
"Adelie Penguin (Pygoscelis adeliae)",45.8,18.9
"Adelie Penguin (Pygoscelis adeliae)",35.5,17.5
"Adelie Penguin (Pygoscelis adeliae)",42.8,18.5
"Adelie Penguin (Pygoscelis adeliae)",40.9,16.8
"Adelie Penguin (Pygoscelis adeliae)",37.2,19.4
"Adelie Penguin (Pygoscelis adeliae)",36.2,16.1
"Adelie Penguin (Pygoscelis adeliae)",42.1,19.1
"Adelie Penguin (Pygoscelis adeliae)",34.6,17.2
"Adelie Penguin (Pygoscelis adeliae)",42.9,17.6
"Adelie Penguin (Pygoscelis adeliae)",36.7,18.8
"Adelie Penguin (Pygoscelis adeliae)",35.1,19.4
"Adelie Penguin (Pygoscelis adeliae)",37.3,17.8
"Adelie Penguin (Pygoscelis adeliae)",41.3,20.3
"Adelie Penguin (Pygoscelis adeliae)",36.3,19.5
"Adelie Penguin (Pygoscelis adeliae)",36.9,18.6
"Adelie Penguin (Pygoscelis adeliae)",38.3,19.2
"Adelie Penguin (Pygoscelis adeliae)",38.9,18.8
"Adelie Penguin (Pygoscelis adeliae)",35.7,18
"Adelie Penguin (Pygoscelis adeliae)",41.1,18.1
"Adelie Penguin (Pygoscelis adeliae)",34,17.1
"Adelie Penguin (Pygoscelis adeliae)",39.6,18.1
"Adelie Penguin (Pygoscelis adeliae)",36.2,17.3
"Adelie Penguin (Pygoscelis adeliae)",40.8,18.9
"Adelie Penguin (Pygoscelis adeliae)",38.1,18.6
"Adelie Penguin (Pygoscelis adeliae)",40.3,18.5
"Adelie Penguin (Pygoscelis adeliae)",33.1,16.1
"Adelie Penguin (Pygoscelis adeliae)",43.2,18.5
"Adelie Penguin (Pygoscelis adeliae)",35,17.9
"Adelie Penguin (Pygoscelis adeliae)",41,20
"Adelie Penguin (Pygoscelis adeliae)",37.7,16
"Adelie Penguin (Pygoscelis adeliae)",37.8,20
"Adelie Penguin (Pygoscelis adeliae)",37.9,18.6
"Adelie Penguin (Pygoscelis adeliae)",39.7,18.9
"Adelie Penguin (Pygoscelis adeliae)",38.6,17.2
"Adelie Penguin (Pygoscelis adeliae)",38.2,20
"Adelie Penguin (Pygoscelis adeliae)",38.1,17
"Adelie Penguin (Pygoscelis adeliae)",43.2,19
"Adelie Penguin (Pygoscelis adeliae)",38.1,16.5
"Adelie Penguin (Pygoscelis adeliae)",45.6,20.3
"Adelie Penguin (Pygoscelis adeliae)",39.7,17.7
"Adelie Penguin (Pygoscelis adeliae)",42.2,19.5
"Adelie Penguin (Pygoscelis adeliae)",39.6,20.7
"Adelie Penguin (Pygoscelis adeliae)",42.7,18.3
"Adelie Penguin (Pygoscelis adeliae)",38.6,17
"Adelie Penguin (Pygoscelis adeliae)",37.3,20.5
"Adelie Penguin (Pygoscelis adeliae)",35.7,17
"Adelie Penguin (Pygoscelis adeliae)",41.1,18.6
"Adelie Penguin (Pygoscelis adeliae)",36.2,17.2
"Adelie Penguin (Pygoscelis adeliae)",37.7,19.8
"Adelie Penguin (Pygoscelis adeliae)",40.2,17
"Adelie Penguin (Pygoscelis adeliae)",41.4,18.5
"Adelie Penguin (Pygoscelis adeliae)",35.2,15.9
"Adelie Penguin (Pygoscelis adeliae)",40.6,19
"Adelie Penguin (Pygoscelis adeliae)",38.8,17.6
"Adelie Penguin (Pygoscelis adeliae)",41.5,18.3
"Adelie Penguin (Pygoscelis adeliae)",39,17.1
"Adelie Penguin (Pygoscelis adeliae)",44.1,18
"Adelie Penguin (Pygoscelis adeliae)",38.5,17.9
"Adelie Penguin (Pygoscelis adeliae)",43.1,19.2
"Adelie Penguin (Pygoscelis adeliae)",36.8,18.5
"Adelie Penguin (Pygoscelis adeliae)",37.5,18.5
"Adelie Penguin (Pygoscelis adeliae)",38.1,17.6
"Adelie Penguin (Pygoscelis adeliae)",41.1,17.5
"Adelie Penguin (Pygoscelis adeliae)",35.6,17.5
"Adelie Penguin (Pygoscelis adeliae)",40.2,20.1
"Adelie Penguin (Pygoscelis adeliae)",37,16.5
"Adelie Penguin (Pygoscelis adeliae)",39.7,17.9
"Adelie Penguin (Pygoscelis adeliae)",40.2,17.1
"Adelie Penguin (Pygoscelis adeliae)",40.6,17.2
"Adelie Penguin (Pygoscelis adeliae)",32.1,15.5
"Adelie Penguin (Pygoscelis adeliae)",40.7,17
"Adelie Penguin (Pygoscelis adeliae)",37.3,16.8
"Adelie Penguin (Pygoscelis adeliae)",39,18.7
"Adelie Penguin (Pygoscelis adeliae)",39.2,18.6
"Adelie Penguin (Pygoscelis adeliae)",36.6,18.4
"Adelie Penguin (Pygoscelis adeliae)",36,17.8
"Adelie Penguin (Pygoscelis adeliae)",37.8,18.1
"Adelie Penguin (Pygoscelis adeliae)",36,17.1
"Adelie Penguin (Pygoscelis adeliae)",41.5,18.5
